Month-End,WDR_PUB,WDR_PVT,WLR _PUB,WLR_PVT,WDR_PUB_Q,WDR_PVT_Q,WLR_PUB_Q,WDR_PVT_Q
Apr-16,7.67,7.72,11.15,11.61,7.61,7.69,11.14,11.54
May-16,7.61,7.71,11.14,11.53,7.48,7.54,11.1,11.47
Jun-16,7.54,7.62,11.13,11.47,7.33,7.38,11.06,11.3
Jul-16,7.51,7.59,11.12,11.48,7.11,7.05,10.88,11.09
Aug-16,7.47,7.55,11.11,11.48,6.9,6.88,10.62,10.76
Sep-16,7.44,7.49,11.07,11.44,6.72,6.75,10.51,10.7
Oct-16,7.41,7.47,11.08,11.34,6.51,6.67,10.33,10.52
Nov-16,7.34,7.43,11.06,11.34,6.58,6.78,10.19,10.47
Dec-16,7.23,7.23,11.04,11.23,6.67,6.94,10.13,10.52
Jan-17,7.2,7.12,10.98,11.18,6.68,7.04,10.06,10.8
Feb-17,7.11,7.08,10.93,11.18,6.75,7.17,9.98,11.05
Mar-17,7.02,6.96,10.74,10.92,6.79,7.24,9.75,11.03
Apr-17,6.97,6.92,10.63,10.75,6.78,7.22,9.74,11.11
May-17,6.9,6.88,10.63,10.71,6.77,7.15,9.73,11.12
Jun-17,6.84,6.84,10.59,10.82,6.6,6.91,9.61,11.11
Jul-17,6.79,6.77,10.57,10.73,6.44,6.65,9.41,11.02
Aug-17,6.71,6.75,10.54,10.8,6.09,6.24,9.13,10.79
Sep-17,6.67,6.74,10.43,10.56,5.87,5.93,8.94,10.62
Oct-17,6.54,6.66,10.38,10.58,5.6,5.72,8.75,10.42
Nov-17,6.49,6.66,10.33,10.52,5.4,5.53,8.57,10.24
Dec-17,6.51,6.69,10.29,10.47,5.27,5.44,8.53,10.02
Jan-18,6.52,6.71,10.22,10.41,5.15,5.3,8.47,9.88
Feb-18,6.57,6.79,10.24,10.53,5.12,5.21,8.39,9.82
Mar-18,6.65,6.84,10.12,10.48,5.11,5.15,8.28,9.71
Apr-18,6.69,6.89,10.14,10.5,5.14,5.19,8.27,9.74
May-18,6.67,6.95,10.12,10.53,5.32,5.39,8.53,10.07
Jun-18,6.66,6.99,10.13,10.53,5.62,5.73,8.82,10.41
Jul-18,6.65,7,10.12,10.53,6.02,6.12,9.06,10.6
Aug-18,6.69,7.05,10.06,10.93,6.37,6.45,9.18,10.76
Sep-18,6.7,7.06,9.99,10.94,6.64,6.64,9.22,10.78
Oct-18,6.73,7.13,10,10.99,6.84,6.77,9.25,10.72
Nov-18,6.75,7.17,10,11.04,6.94,6.82,9.25,10.75
Dec-18,6.78,7.21,9.94,11.11,6.99,6.87,9.21,10.82
Jan-19,6.8,7.24,9.75,11.06,7.05,6.85,9.2,10.96
Feb-19,6.79,7.24,9.74,11.02,,,,
Mar-19,6.77,7.24,9.77,11,,,,
Apr-19,6.77,7.23,9.75,11.11,#DIV/0!,,,
May-19,6.78,7.21,9.74,11.12,#DIV/0!,,,
Jun-19,6.78,7.22,9.74,11.11,#DIV/0!,,,
Jul-19,6.74,7.19,9.74,11.11,#DIV/0!,,,
Aug-19,6.79,7.15,9.74,11.12,#DIV/0!,,,
Sep-19,6.78,7.1,9.71,11.12,#DIV/0!,,,
Oct-19,6.68,7.03,9.69,11.14,#DIV/0!,,,
Nov-19,6.64,6.89,9.66,11.12,#DIV/0!,,,
Dec-19,6.48,6.82,9.49,11.06,#DIV/0!,,,
Jan-20,6.51,6.73,9.48,11.06,#DIV/0!,,,
Feb-20,6.43,6.69,9.44,11.06,#DIV/0!,,,
Mar-20,6.38,6.54,9.31,10.95,#DIV/0!,,,
Apr-20,6.05,6.32,9.2,10.9,#DIV/0!,,,
May-20,6.17,6.24,9.15,10.81,#DIV/0!,,,
Jun-20,6.05,6.15,9.04,10.66,#DIV/0!,,,
Jul-20,5.99,6.04,8.98,10.71,#DIV/0!,,,
Aug-20,5.89,5.93,8.93,10.64,,,,
Sep-20,5.72,5.83,8.91,10.52,#DIV/0!,,,
Oct-20,5.69,5.79,8.81,10.5,#DIV/0!,,,
Nov-20,5.59,5.72,8.74,10.46,#DIV/0!,,,
Dec-20,5.51,5.65,8.69,10.31,#DIV/0!,,,
Jan-21,5.46,5.52,8.61,10.32,#DIV/0!,,,
Feb-21,5.4,5.54,8.57,10.27,#DIV/0!,,,
Mar-21,5.33,5.53,8.52,10.14,#DIV/0!,,,
Apr-21,5.31,5.49,8.55,10.1,#DIV/0!,,,
May-21,5.26,5.44,8.54,10.03,#DIV/0!,,,
Jun-21,5.24,5.39,8.51,9.92,#DIV/0!,,,
Jul-21,5.17,5.31,8.49,9.91,#DIV/0!,,,
Aug-21,5.15,5.33,8.47,9.92,#DIV/0!,,,
Sep-21,5.14,5.27,8.44,9.8,#DIV/0!,,,
Oct-21,5.13,5.24,8.42,9.86,#DIV/0!,,,
Nov-21,5.12,5.21,8.4,9.83,#DIV/0!,,,
Dec-21,5.12,5.18,8.36,9.77,#DIV/0!,,,
Jan-22,5.11,5.17,8.32,9.76,#DIV/0!,,,
Feb-22,5.1,5.16,8.3,9.71,#DIV/0!,,,
Mar-22,5.11,5.13,8.22,9.65,#DIV/0!,,,
Apr-22,5.11,5.13,8.2,9.62,#DIV/0!,,,
May-22,5.13,5.19,8.23,9.76,#DIV/0!,,,
Jun-22,5.17,5.25,8.39,9.85,#DIV/0!,,,
Jul-22,5.24,5.3,8.41,9.95,#DIV/0!,,,
Aug-22,5.31,5.38,8.55,10.08,#DIV/0!,,,
Sep-22,5.41,5.48,8.64,10.17,#DIV/0!,,,
Oct-22,5.49,5.59,8.74,10.33,#DIV/0!,,,
Nov-22,5.62,5.72,8.79,10.42,#DIV/0!,,,
Dec-22,5.76,5.89,8.92,10.48,#DIV/0!,,,
Jan-23,5.89,6.02,8.97,10.54,#DIV/0!,,,
Feb-23,6.02,6.1,9.07,10.61,#DIV/0!,,,
Mar-23,6.15,6.24,9.14,10.65,#DIV/0!,,,
Apr-23,6.27,6.36,9.16,10.72,#DIV/0!,,,
May-23,6.37,6.44,9.18,10.74,#DIV/0!,,,
Jun-23,6.46,6.53,9.19,10.81,#DIV/0!,,,
Jul-23,6.54,6.6,9.22,10.8,#DIV/0!,,,
Aug-23,6.62,6.65,9.24,10.79,#DIV/0!,,,
Sep-23,6.75,6.67,9.21,10.75,#DIV/0!,,,
Oct-23,6.8,6.73,9.25,10.73,#DIV/0!,,,
Nov-23,6.85,6.75,9.25,10.72,#DIV/0!,,,
Dec-23,6.88,6.82,9.25,10.72,#DIV/0!,,,
Jan-24,6.91,6.81,9.25,10.75,#DIV/0!,,,
Feb-24,6.94,6.81,9.25,10.73,#DIV/0!,,,
Mar-24,6.96,6.83,9.24,10.76,#DIV/0!,,,
Apr-24,6.97,6.89,9.22,10.75,#DIV/0!,,,
May-24,6.99,6.9,9.21,10.75,#DIV/0!,,,
Jun-24,7,6.83,9.21,10.95,#DIV/0!,,,
Jul-24,7.03,6.84,9.2,10.97,#DIV/0!,,,
Aug-24,7.05,6.85,9.2,10.97,#DIV/0!,,,
Sep-24,7.07,6.87,9.21,10.95,#DIV/0!,,,
Oct-24,7.08,6.89,9.19,10.95,#DIV/0!,,,
